[2024-03-08T10:14:26,239][INFO ][logstash.inputs.jdbc     ][main][5447fc8cbf3c06871ccee0bf175a2d6be6122742c2e86a3266e23acc51d15772] (0.003271s) SELECT * FROM automate
[2024-03-08T10:14:30,332][INFO ][logstash.inputs.jdbc     ][main][6306528dd682cc53dbcd8c45b2c123f75c4f6676f062f7f75f26dc0c07197863] (0.002416s) SELECT * FROM elementatb 
[2024-03-08T10:15:00,596][INFO ][logstash.inputs.jdbc     ][main][666bd71cddc0ff8828eb8ea08448b0a5cffc36e546222a6d33c543cf696e8fa4] (0.003828s) SELECT * FROM element_stock_reactif 
[2024-03-08T10:15:00,596][INFO ][logstash.inputs.jdbc     ][main][3f086a5cfca6f08cc5bd3a2585adada4a88d5e53a07704d261e2a16808f1dd58] (0.001193s) SELECT * FROM piecejoints
[2024-03-08T10:15:00,597][INFO ][logstash.inputs.jdbc     ][main][c83e8d1f6b7804752a187f901724097a9a068cb167d1e38d4139fec6dcb35702] (0.001965s) SELECT * FROM resultatatb 
[2024-03-08T10:15:00,599][INFO ][logstash.inputs.jdbc     ][main][580f89da1beb3c6295e033ab6bb84311e3659c62af63f992c91f3d53dff25b35] (0.001899s) SELECT * FROM historique_stock_reactif 
[2024-03-08T10:15:00,600][INFO ][logstash.inputs.jdbc     ][main][d8a7fadba439d2a49d57371c460ed9d79ecd272fcb4a4e1889a43c80bffc6912] (0.002035s) SELECT * FROM stockreactif 
[2024-03-08T10:15:17,456][INFO ][logstash.inputs.jdbc     ][main][a798cde71442239c4a7210903aa0b4864da698bb209fcd4a46db7120373aa5d8] (0.002603s) SELECT * FROM tubeprelevement
[2024-03-08T10:15:17,462][INFO ][logstash.inputs.jdbc     ][main][1a44522bdef834d30e4dbd0421149a117efb164b4078d385d6b8001292b10a94] (0.008326s) SELECT * FROM analyse
[2024-03-08T10:15:17,464][INFO ][logstash.inputs.jdbc     ][main][b949dd2ddacc1f97b9dc6ee635855129d1da287020ffd4a2cb9292bb64174cbb] (0.009424s) SELECT * FROM valeurposselemresult 
[2024-03-08T10:15:18,221][INFO ][logstash.inputs.jdbc     ][main][fa5ffd8b20df9e8eaffdd3650df469fe1d612eb13afe6ee06dc45a3bda7f6a04] (0.003877s) SELECT * FROM typeelementresult  
[2024-03-08T10:15:18,228][INFO ][logstash.inputs.jdbc     ][main][08f05123f4cb903c888fc00518c37a2f8cf98ff22c341aacb31b686836981769] (0.003691s) SELECT * FROM interpretation  
[2024-03-08T10:15:20,930][INFO ][logstash.inputs.jdbc     ][main][6313eec7ec89ecfa017130fdce37ff9bdc876487edd7bd1b9158722c8c071197] (0.003371s) SELECT * FROM catagorie 
[2024-03-08T10:15:20,932][INFO ][logstash.inputs.jdbc     ][main][096f89540caf784209fce40cad1ab279fa640c05386a467f9b62d201a1ef20a5] (0.001579s) SELECT * FROM automatesexamen 
[2024-03-08T10:15:20,932][INFO ][logstash.inputs.jdbc     ][main][5447fc8cbf3c06871ccee0bf175a2d6be6122742c2e86a3266e23acc51d15772] (0.002661s) SELECT * FROM automate
[2024-03-08T10:15:20,942][INFO ][logstash.inputs.jdbc     ][main][7c56dfe22fbd8bf0973397811da6942a0b64b409c232562102a88f6ef4c47adf] (0.004631s) SELECT * FROM parametres  
[2024-03-08T10:15:20,947][INFO ][logstash.inputs.jdbc     ][main][ab4f94295b188df6883a82a66a058300ba7235cc7c504b1e920873f13ae044c9] (0.009679s) SELECT * FROM examen 
[2024-03-08T10:15:20,952][INFO ][logstash.inputs.jdbc     ][main][4d4b3329c70bc6ed7b29190cc01d194bb5daa66ebd9c9db4666bf4acdf337741] (0.007802s) SELECT * FROM prescripteurs 
[2024-03-08T10:15:51,762][INFO ][logstash.inputs.jdbc     ][main][a798cde71442239c4a7210903aa0b4864da698bb209fcd4a46db7120373aa5d8] (0.003462s) SELECT * FROM tubeprelevement
[2024-03-08T10:16:00,071][INFO ][logstash.inputs.jdbc     ][main][d8a7fadba439d2a49d57371c460ed9d79ecd272fcb4a4e1889a43c80bffc6912] (0.001289s) SELECT * FROM stockreactif 
[2024-03-08T10:16:00,084][INFO ][logstash.inputs.jdbc     ][main][3f086a5cfca6f08cc5bd3a2585adada4a88d5e53a07704d261e2a16808f1dd58] (0.001243s) SELECT * FROM piecejoints
[2024-03-08T10:16:00,086][INFO ][logstash.inputs.jdbc     ][main][c83e8d1f6b7804752a187f901724097a9a068cb167d1e38d4139fec6dcb35702] (0.002947s) SELECT * FROM resultatatb 
[2024-03-08T10:16:00,207][INFO ][logstash.inputs.jdbc     ][main][580f89da1beb3c6295e033ab6bb84311e3659c62af63f992c91f3d53dff25b35] (0.002134s) SELECT * FROM historique_stock_reactif 
